"Date(UTC)","UnixTimeStamp","Value"
"12/27/2021","1640563200","40529"
"12/28/2021","1640649600","45816"
"12/29/2021","1640736000","41491"
"12/30/2021","1640822400","35969"
"12/31/2021","1640908800","36152"
"1/1/2022","1640995200","29714"
"1/2/2022","1641081600","24215"
"1/3/2022","1641168000","34940"
"1/4/2022","1641254400","38047"
"1/5/2022","1641340800","46659"
"1/6/2022","1641427200","43698"
"1/7/2022","1641513600","53769"
"1/8/2022","1641600000","42384"
"1/9/2022","1641686400","38167"
"1/10/2022","1641772800","41393"
"1/11/2022","1641859200","31682"
"1/12/2022","1641945600","27994"
"1/13/2022","1642032000","31077"
"1/14/2022","1642118400","26440"
"1/15/2022","1642204800","21734"
"1/16/2022","1642291200","21154"
"1/17/2022","1642377600","24972"
"1/18/2022","1642464000","30689"
"1/19/2022","1642550400","35680"
"1/20/2022","1642636800","32737"
"1/21/2022","1642723200","69297"
"1/22/2022","1642809600","90805"
"1/23/2022","1642896000","52123"
"1/24/2022","1642982400","81910"
"1/25/2022","1643068800","47794"
"1/26/2022","1643155200","48721"
"1/27/2022","1643241600","48109"
"1/28/2022","1643328000","43774"
"1/29/2022","1643414400","30900"
"1/30/2022","1643500800","31493"
"1/31/2022","1643587200","38935"
"2/1/2022","1643673600","34449"
"2/2/2022","1643760000","43833"
"2/3/2022","1643846400","37329"
"2/4/2022","1643932800","35839"
"2/5/2022","1644019200","33860"
"2/6/2022","1644105600","27472"
"2/7/2022","1644192000","34432"
"2/8/2022","1644278400","40130"
"2/9/2022","1644364800","30955"
"2/10/2022","1644451200","38085"
"2/11/2022","1644537600","40021"
"2/12/2022","1644624000","34119"
"2/13/2022","1644710400","27116"
"2/14/2022","1644796800","32398"
"2/15/2022","1644883200","32376"
"2/16/2022","1644969600","31526"
"2/17/2022","1645056000","30387"
"2/18/2022","1645142400","20999"
"2/19/2022","1645228800","16452"
"2/20/2022","1645315200","22340"
"2/21/2022","1645401600","30640"
"2/22/2022","1645488000","29410"
"2/23/2022","1645574400","29383"
"2/24/2022","1645660800","61397"
"2/25/2022","1645747200","40934"
"2/26/2022","1645833600","27644"
"2/27/2022","1645920000","32725"
"2/28/2022","1646006400","41658"
"3/1/2022","1646092800","33048"
"3/2/2022","1646179200","33810"
"3/3/2022","1646265600","26899"
